Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,64.49,0.69,14.75,3.1,0.05,2.01,1.39,1.91,10.32,0.25,882,528,625,,,,,,46,,,31,625,33,,,42,107,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,65.61,0.5,15.11,2.29,0.03,1.79,1.16,1.89,10.41,0.22,938,497,419,,,,,,36,,,30,546,32,,,44,90,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,66.65,0.75,13.63,3.34,0.05,2.05,1.39,1.63,8.71,0.2,832,354,480,,,,,,33,,,32,673,34,,,56,162,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,67.15,0.63,13.94,3.28,0.04,2.02,1.05,1.66,8.74,0.21,918,348,320,,,,,,40,,,30,726,36,,,60,147,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,67.98,0.56,14.98,2.38,0.05,0.96,0.62,1.82,9.82,0.2,1005,263,163,,,,,,19,,,34,802,43,,,62,145,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,68.49,0.48,15.2,1.56,0.02,0.78,0.52,2.08,10.44,0.1,931,364,295,,,,,,22,,,28,685,41,,,52,113,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,56.86,1.37,12.61,6.37,0.1,7.15,3.47,1.2,7.91,0.92,600,315,919,9.3,17.4,116.1,373.6,,128.2,,,19.6,344.4,26.2,9.49,1.41,53.71,152.27,21.45,99.59,17.7,2.75,8.73,,4.32,,1.77,,1.58,0.22,38.7,78.59,17.07,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,54.56,1.19,11.85,5.87,0.08,7.14,3.88,1.01,7.49,1.16,872,447,1298,14.5,20.7,151.4,475.5,,143.5,,,24.7,511,38,14.35,2.13,71.92,200.16,27.7,129.77,22.41,3.4,11.1,,5.51,,2.25,,2.08,0.31,35,117.54,24.79,
Lustrino et al. 2016 JVGR,Italy (Tuscany) V.EOM,Orogenic,Lamproite,54.45,1.24,12.24,6.16,0.07,7.34,3.89,1.04,7.88,1.18,817,379,1256,13.1,22.1,168.9,555.3,,151.7,,,24.1,469.8,36,13.16,1.97,72.93,201.36,27.88,126.9,22.04,3.17,10.91,,5.36,,2.19,,2.05,0.29,32,109.18,23.13,
Lustrino et al. 2016 JVGR,Italy (Tuscany) T.A.,Orogenic,Lamproite,55.47,1.36,13.39,6.42,0.1,9.36,4.7,1.18,7.46,0.54,399,579,1390,35.5,17,122,520,28,310,40,90,27,532,29,15.7,2.5,110,249,31.1,120,20,3.8,12.9,1.4,6.3,1.07,2.8,0.4,2.3,0.3,53,50.4,10.7,19
Lustrino et al. 2016 JVGR,Italy (Tuscany) T.A.,Orogenic,Lamproite,56.04,1.27,13.91,5.91,0.09,8.72,4.94,1.13,7.49,0.53,458,737,1292,,,125,642,,321,,,32,655,35,16,2.3,94,257,,136,,3.7,,1.4,,,,,2.4,0.5,55,63,14.7,
Lustrino et al. 2016 JVGR,Italy (Tuscany) T.A.,Orogenic,Lamproite,56.62,1.24,14.58,5.9,0.08,8.42,4.48,0.99,7.16,0.56,425,674,1250,,,119,605,,303,,,34,606,33,,,95,251,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) T.A.,Orogenic,Lamproite,56.69,1.23,14.39,5.83,0.09,8.01,5.13,1.01,7.07,0.49,430,604,1221,,,123,672,,299,,,32,537,32,,,97,240,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) T.A.,Orogenic,Lamproite,56.79,1.26,14.25,6.04,0.08,8.52,4.57,0.95,6.96,0.52,388,686,1165,,,,551,,288,,,37,584,34,,,92,225,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) T.A.,Orogenic,Lamproite,56.8,1.25,14.16,5.88,0.08,8.85,4.39,0.97,6.95,0.54,384,671,1150,,,,535,,286,,,40,591,35,,,89,230,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Italy (Tuscany) T.A.,Orogenic,Lamproite,56.81,1.28,14.36,5.96,0.09,8.36,4.48,1.21,7.05,0.52,419,660,1195,21,17,127,626,33,291,,,34,642,36,16.5,2.2,100,241,,123,19.7,3.5,,1.4,,,,,2.8,0.4,50,60,14,
Lustrino et al. 2016 JVGR,Italy (Tuscany) T.A.,Orogenic,Lamproite,55.5,1.36,13.4,6.37,0.1,9.36,4.7,1.18,7.46,0.54,484,648,1193,35.2,15.4,120.8,596.3,,335.6,,,23.2,511.7,33.2,14.09,2.01,89.09,226.5,26.69,107.56,17.2,3.02,9.49,,5.24,,2.16,,1.89,0.27,68.95,51.92,13.62,
Lustrino et al. 2016 JVGR,Italy (Tuscany) T.A.,Orogenic,Lamproite,55.2,1.28,12.51,6.32,0.09,8.5,5.32,0.86,7.4,0.54,526,747,1402,34.1,18.2,137.9,616.9,,326.6,,,27.9,605.7,38.4,17.15,2.45,117.47,276.1,33.45,136.21,21.9,3.5,12.27,,6.36,,2.56,,2.28,0.33,64,69.19,14.38,
Lustrino et al. 2016 JVGR,Italy (Tuscany) T.A.,Orogenic,Lamproite,55,1.24,13.88,6.66,0.09,7.42,5.17,0.86,6.26,0.44,379,600,1155,28.8,19.6,158.3,568.3,,291.6,,,28.2,515.1,36.5,14.55,2.27,89.75,216.57,26.31,107.03,17.37,3.02,9.94,,6.06,,2.75,,2.53,0.38,49,53.69,11.18,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,54.91,1.34,10.92,6.16,0.08,5.06,7.18,1.7,8.19,1.83,173,1360,3630,,26.7,162.8,177.5,,38.8,,,28,468.7,29.5,12.25,1.56,48.07,93.49,11.85,50.6,9.8,2.35,7.93,,5.8,,2.6,,2.33,0.35,45,21.56,4.47,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,49.74,0.96,9.02,6.74,0.12,7.68,10.1,1.44,7.19,1.42,236,1758,5026,,36,235.6,170,,83.5,,,35.4,544.8,50.9,28.99,6.55,63.5,118.53,26.47,65.26,20.66,7.93,16.64,,11.8,,7.27,,6.48,1.54,48,48.23,17.63,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,48.45,1.99,10.63,6.91,0.12,10.6,8.52,1.85,6.05,1.28,525,1878,2380,,,,616,,472,,,24,960,166,20,10,160.32,293.47,31.16,115.12,16.08,4.28,10.72,1.16,5.24,0.86,2.22,0.24,1.55,0.23,,24,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,47.18,1.51,9.69,7.24,0.16,11.67,9.52,1.3,6.84,1.53,236,1595,1971,,,,753,,629,,,27,1001,200,19,9,132.56,230.21,24.58,90.21,13.42,3.34,9.11,1.12,5.7,0.95,2.48,0.31,2.28,0.31,,22,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,47.83,1.71,9.19,7.16,0.11,11.19,8.52,2.13,6.57,1.42,367,1582,2268,,,,547,,550,,,22,1026,203,19,10,132.65,246.72,26.4,96.88,13.91,3.69,9.72,0.94,4.79,0.75,2.01,0.25,1.52,0.26,,21,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,48.86,1.72,10.37,6.72,0.12,10.5,8.23,2.6,6.74,1.34,268,1928,2302,,,,547,,472,,,23,929,161,18,8,,,,,,,,,,,,,,,,22,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,48.9,1.75,10.3,6.82,0.1,11.2,7.34,2.23,7.4,1.11,293,1584,1608,,,,753,,707,,,24,616,184,23,8,,,,,,,,,,,,,,,,16,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,46.8,1.7,10.8,7.3,0.1,11.5,10.6,1.6,5.8,1.6,328,2103,1983,,,,616,,472,,,26,473,146,17,10,,,,,,,,,,,,,,,,16,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,49.19,1.77,10.82,6.81,0.11,10.39,8.39,1.95,6.32,1.56,604,1997,2284,,,,616,,472,,,24,990,173,19,10,,,,,,,,,,,,,,,,24,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,47.98,1.64,11,7.29,0.12,11.64,9.11,1.64,4.81,1.42,338,2290,2528,,,,547,,550,,,26,882,146,18,6,,,,,,,,,,,,,,,,16,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,47.61,1.59,9.37,6.56,0.1,11.73,10.1,1.35,7.36,1.7,302,1651,3105,,,,623,,408,,,20,929,178,20,10,178,339,24.12,89.88,13.18,3.31,9.81,,5.55,2.61,,,1.92,0.25,10,17,4.7,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,47.62,1.74,9.48,6.63,0.1,11.67,9.73,1.49,7.35,1.7,293,1664,3093,,,,585,,414,,,19,955,184,19,10,176,336,20.87,82.5,12.23,3.72,9.95,,4.24,1.75,,,1.84,0.26,12,16,5,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,48.66,1.76,10.43,6.91,0.12,10.6,8.21,1.85,5.04,1.28,252,1485,2702,,,,618,,569,,,25,878,203,17,5,188,321,21.91,81.91,12.71,3.66,10.76,,4.26,1.87,,,1.64,0.24,11,10,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,48.26,1.66,9.53,7.3,0.13,10.38,9.24,1.75,7.51,1.16,195,2213,2113,,,,623,,421,,,27,674,176,14.8,4.9,,,,,,,,,,,,,,,46,15,6.6,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,47.65,1.71,9.09,7.15,0.11,11.03,8.51,2.13,6.56,1.42,425,1582,2222,,,,583,,471,,,18,1026,203,16,5,,,,,,,,,,,,,,,14,10,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,48.24,1.66,9.73,7.63,0.13,10.59,9.25,1.45,8.51,1.17,726,1632,2435,,,,675,,597,,,16,965,190,17,7,,,,,,,,,,,,,,,1,15,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,47.5,2.01,9.5,7.3,0.16,10.8,9.1,2.12,6.9,1.7,225,1839,1864,,,,787,,534,,,28,940,164,16,4,,,,,,,,,,,,,,,42,18.2,9.3,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,46.8,1.7,10.4,7.15,0.1,11.9,8.46,2.11,6.5,1.61,235,2073,1343,,,,473,,476,,,21,480,147,17,8,,,,,,,,,,,,,,,15,14.6,7.8,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,47.56,1.5,10.43,7.8,0.11,12.23,8.55,2.31,5.72,1.82,226,2282,2147,,,,602,,372,,,23,914,104,18,10,,,,,,,,,,,,,,,11,19.5,6.2,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,45.72,1.7,9.9,6.9,0.12,12.1,10.7,2.25,6.8,1.25,221,1896,1589,,,,615,,480,,,22,591,162,20,6,,,,,,,,,,,,,,,19,19.8,10,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,47.6,1.69,9.91,6.68,0.11,12.2,9.75,2.15,6.3,1.38,189,1347,1834,,,,657,,457,,,19,570,172,17,5,,,,,,,,,,,,,,,26,22.4,5.7,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,46.7,1.78,9.3,7.4,0.12,11.2,10.5,1.85,6.78,1.4,205,1846,1453,,,,696,,474,,,29,319,188,15,5,,,,,,,,,,,,,,,43,17.4,5.9,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lc lamproite,47.1,1.95,8.89,7.9,0.13,12.9,9.5,1.76,6.3,1.59,267,1371,1910,,,,792,,463,,,23,291,216,15,4,,,,,,,,,,,,,,,52,20.8,6.5,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,49.22,1.75,10.5,6.84,0.11,10.06,8.04,2.18,7.17,1.4,261,1982,2073,,19.1,117.9,510,,404,,,25.9,806.2,166.5,18.57,9.4,138.41,243.86,25.86,93.7,13.6,3.55,9.2,,5.68,,2.55,,2.12,0.3,14,22.65,6.12,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,48.95,1.75,10.52,6.97,0.11,10.23,8.12,2.34,7.02,1.61,168,2148,2146,,18.5,92.4,514,,431,,,24.8,753.1,143.1,17.52,8,123.19,220.26,23.59,85.77,12.86,3.41,8.56,,5.38,,2.38,,2.07,0.3,15,20.69,5.21,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,48.7,1.6,10.68,6.98,0.11,10.78,8.19,1.94,4.96,1.79,118,1276,1602,,12.4,62.2,570,,455,,,18.1,526.7,67.3,13.04,3.68,73.93,123.52,13.8,51.37,7.86,1.93,5.53,,3.75,,1.79,,1.59,0.25,21,14.54,3.03,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,48.37,1.9,8.57,7.04,0.1,12.75,8.17,1.79,7.94,1.82,205,1651,1494,,16.8,95.6,561,,432,,,21.6,939.2,197,21.93,11.39,139.63,251.5,27.96,104.45,15.27,3.92,9.51,,5.01,,1.92,,1.52,0.22,11,21.11,6.62,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,46.9,1.67,9.27,7.13,0.11,12.72,8.94,2.11,6.38,1.8,180,2036,3603,,18.7,115.6,631.3,,575.4,,,23,836.3,185.9,19.77,10.11,150.69,266.72,28.96,107.36,15.66,3.99,9.87,,5.47,,2.17,,1.7,0.25,14,23.81,6.58,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,49.13,1.32,16.42,7.08,0.12,4.05,7.8,1.16,9.51,0.88,523,1882,5147,25.2,16,244,42,25,25,85,76,31,602,33,16.9,2.13,96,190,21.9,84,14.4,4,10.8,1.2,6.3,1.12,2.69,0.34,2.3,0.33,69,38,7.6,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,50.21,1.42,10.42,7.27,0.16,6.16,9.44,1.38,7.94,1.71,199,1213,3242,2.6,18,159,159,28,66,72,79,23,379,26,10.1,1.23,43,89,10.9,45,8.6,2.43,11.1,0.96,5.1,0.79,2.05,0.28,1.8,0.26,46,19,5.9,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,51.29,1.64,11.75,7.03,0.11,9.39,5.97,1.77,6.15,1.21,198,742,1652,49,16,163,518,33,298,55,,27,648,30,18.6,1.86,50,109,13.4,53,9.4,2.27,7.3,1,5.4,0.98,2.38,0.35,2.1,0.31,19.4,13,5.1,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,52.59,1.09,17.82,5.6,0.07,4.38,5.16,0.86,8.9,0.71,1128,1700,4210,,,151,153,14,74,42,60,45,528,25,,,86,145,,60,,,,,,,,,,,77,32,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,43.63,1.14,15.38,7,0.14,2.68,10.24,2.21,9.71,0.44,739,3271,9350,,7.1,190.4,3,,19,,,31.2,740.4,43.8,17.16,2.7,132.99,223.22,25.1,94.02,15.47,3.64,10.24,,6.39,,2.88,,2.67,0.37,139,62.04,19.77,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,49.14,1.76,12.26,6.94,0.12,10.64,7.58,2.53,6.33,1.49,239,2180,2248,,,129,536,37,409,58,80,16,710,118,,,123,229,,92,,,,,,,,,,,19,21,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,48.9,1.62,11.77,6.79,0.11,11.17,7.45,2.75,6.27,2.09,198,2326,2384,,18,,673,39.6,377,,,30,647,117,14.4,7.5,135,255,,91,14.8,3.7,,1,,,,,2.5,0.25,,23,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,49.39,1.64,12.2,6.87,0.11,11.11,7.2,2.73,6.25,1.57,209,2219,2354,,18.2,,666,40.3,367,,,24,680,120,15.4,7.5,126,257,,94,14,3.7,,0.76,,,,,2.3,0.27,,22,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,53.07,1.35,14.71,7.27,0.14,5.44,7.68,2.3,5.24,0.55,186,863,3059,,,181,344,27,74,26,63,27,486,28,,,88,159,,75,,,,,,,,,,,18,22,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,53.84,1.67,14.04,6.57,0.08,6.48,6.84,2.57,5.23,0.5,283,599,445,,,172,279,33,130,33,76,14,526,14,,,53,122,,51,9.5,2.39,6.3,,3.6,,,,1.9,,22,11,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,53.99,1.76,14.15,6.62,0.11,4.74,6.98,2.35,5.36,0.49,273,510,549,,,169,267,46,121,26,80,26,545,24,,,52,120,,52,9.5,2.21,5.9,,4.1,,,,1.9,,36,5,,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,59.18,0.81,15.39,5.78,0.07,2.07,4.62,3.15,5.9,0.63,159,1211,2388,,16.2,131.3,48,,30.5,,,20.7,270.4,32.7,16.26,7.7,60.64,102.46,22.61,46.04,14,5.53,10.88,,7.53,,4.81,,5.14,1.52,55,47.2,31.68,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,53.69,1.18,13.4,8.01,0.1,5.59,8.43,2.15,5.04,0.83,145,1049,2687,,30.3,179.6,707.1,,114.2,,,28.1,264.5,20.5,7.31,1.23,49.44,95.69,12.15,50.54,9.64,2.23,7.44,,5.67,,2.7,,2.51,0.37,25,15.75,3.48,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,54.79,1.28,11.32,6.58,0.1,5.85,7.53,1.64,6.82,1.38,291,1133,2326,,28.1,155.8,389,,74.5,,,26.1,345,24.8,12.73,1.79,64.09,129.79,21.59,69.57,15.51,4.22,10.81,,7.14,,3.44,,3.1,0.51,41,32.66,12.22,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,64.02,0.41,16.66,3.81,0.1,0.88,3.5,4.2,4.82,0.19,141,1628,1965,,7.2,52.9,3.1,,2.5,,,20,396.9,28.5,10.17,1.8,99.88,180.29,17.84,60.08,8.82,2.12,5.5,,3.74,,1.92,,2.1,0.32,62,39.52,12.9,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,54.97,1.24,11.06,6.57,0.09,6.26,8.41,1.86,6.77,1.37,308,1193,2284,,34.1,170,327,,72,,,34,479.4,23,12.57,1.45,74.75,146.16,19.07,81.59,14.73,3.17,10.86,,7.06,,3.25,,2.86,0.4,25,33.36,6.38,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,54.28,1.48,10.28,6.43,0.08,9.13,5.12,1.47,6.86,1.16,254,902,1853,,20.7,135.1,581,,272.4,,,26.3,697.6,44.3,16.18,1.97,49.12,112.19,11.94,54.9,9.18,2.01,7.15,,4.92,,2.04,,1.96,0.26,14,12.04,4.24,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,46.46,0.84,17.96,5.91,0.11,2.13,6.9,1.81,12.31,0.22,521,2352,8156,,5.1,145.5,3,,8,,,21.8,498.3,37.3,11.89,1.96,85.83,149.33,17.1,65.65,10.79,2.62,7.22,,4.65,,2.02,,1.94,0.28,92,47.49,14.6,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,54,1.34,10.86,6.46,0.19,4.97,6.92,1.42,8.29,1.73,110,975,2196,,13.6,70.4,617,,291,,,16.4,242,14.6,6.48,0.78,28.77,51.34,6.13,25.19,5.16,1.27,4.39,,3.4,,1.53,,1.41,0.2,40,10.09,2.13,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,52.62,1.67,13.03,5.58,0.09,3.59,7.56,2.02,7.22,0.91,197,850,1446,,21.2,159.9,214,,69,,,22.5,680.7,39.5,19.28,2.65,74.82,148.37,17.67,67.93,11.12,2.4,7.78,,4.92,,2.15,,1.93,0.29,14,16.64,4.36,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,51.46,1.43,12.66,6.51,0.11,7.08,7.98,2.85,4.24,1.21,57,2509,1796,,19.6,131.6,253,,192,,,19.5,341.3,70.8,6.6,3.15,129.72,256.19,22.53,96.03,11.43,2.96,7.66,,3.86,,1.49,,1.27,0.16,21,16.5,3.3,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,50.44,1.3,11.24,5.9,0.1,7.67,10.45,2.9,4.38,1.34,45,2613,1524,,18.6,107,282,,112,,,16.5,294.8,59.9,8.63,3.86,134.31,248.05,33.25,104.5,17.55,5.1,10.9,,4.8,,1.83,,1.34,0.19,24,22.98,3.73,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,48.08,1.7,11.39,6.93,0.11,8.17,8.51,2.63,4.69,1.53,95,2018,1471,,17.1,134.5,344,,252,,,19.3,458.4,120.5,11.57,6.61,118.65,221.16,26.48,89.38,13.71,3.73,8.57,,4.49,,1.97,,1.69,0.23,16,15.59,4.38,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,55.97,1.54,13.86,6.72,0.15,2.81,5.9,2.26,6.01,1.08,164,1047,2210,,26.3,129.7,382,,171.7,,,33.5,730.7,34.3,18.39,2.01,81.13,141.95,18.12,73.65,12.76,2.85,9.44,,6.86,,3.27,,2.78,0.41,18,18.75,4.5,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,57.62,1.23,14.39,5.54,0.08,3.59,5.73,2.22,5.92,0.81,245,940,2008,,20.8,137.2,179,,18.7,,,29.3,680.7,37.1,17.18,2.52,68.09,126.02,15.25,62.88,11.25,2.42,8.46,,5.95,,2.8,,2.45,0.36,22,21.47,7.93,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,56.99,1.32,14.68,5.95,0.08,3.51,5.79,2.32,5.92,0.89,150,800,1818,,22.1,129.8,186,,22.6,,,23.3,500.9,28.5,12.6,1.82,57.33,108.92,13.51,55.93,10.24,2.22,7.36,,5.05,,2.33,,1.89,0.27,25,15.01,5.49,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,57.07,1.3,14.47,5.87,0.08,3.66,5.95,2.34,5.86,0.87,192,900,2159,,22.3,139.3,183,,25.2,,,29,660.9,34.8,16.95,2.32,67.37,119.35,15.03,62.51,11.46,2.41,8.71,,5.87,,2.89,,2.27,0.35,25,19.1,6.44,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,57.48,1.24,14.46,5.63,0.08,3.6,5.84,2.24,5.85,0.82,169,829,1867,,20.4,133.5,192,,19.8,,,24.5,507.6,31,12.89,1.95,58.46,118.31,14,57.13,10.35,2.27,7.4,,5.18,,2.43,,2.12,0.3,23,16.3,6.47,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,47.56,1.98,10.93,8.19,0.12,11.76,7.97,2.14,5.15,0.89,250,835,1023,2.2,23,208,554.2,,321,,,21.1,574.8,37.3,16.1,2.1,49.1,118.6,16.6,68.1,11.3,2.7,7.5,0.9,4.7,0.7,1.9,0.3,1.5,0.2,,22.2,2.6,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,48.01,1.97,11.1,8.17,0.13,11.4,7.94,2.13,5.51,0.92,254,900,1095,2,24,220,547.4,,310,,,21.9,606.5,39.7,16.5,2.2,53,124.2,16.8,69.1,11.3,2.8,8.2,0.9,4.5,0.7,2.1,0.3,1.6,0.2,,24.2,2.7,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,47.66,1.98,10.8,8.3,0.13,11.83,8.11,2.03,5.05,0.93,249,861,1111,1.9,24,218,567.9,,320,,,22.1,616.7,40.1,15.4,2,52.8,124.2,17.6,75.2,11.4,2.9,7.9,0.9,4.7,0.8,1.9,0.3,1.7,0.2,,23.2,2.7,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,52.81,1.43,11.01,6.95,0.12,7.02,7.5,1.39,5.79,0.57,281,520,268,,22.9,137.7,666,,261,,,22.5,582.9,37.7,16.65,2.59,60.5,146.64,18.95,74.11,10.81,2.05,6.94,,4.82,,2.17,,1.9,0.28,10,28.31,5.56,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,51.6,1.47,11.05,6.77,0.11,10.52,6.06,1.61,5.44,0.53,272,457,289,7.7,19,137,633,36,273,,,23,499,33.1,14.2,2.22,54,137,17.7,67,10.1,2.13,6.1,0.95,4.4,0.82,2.01,0.3,1.8,0.24,8.8,23.5,4.8,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,51.21,1.62,12.5,6.24,0.09,5.6,5.83,1.56,6.78,0.96,220,728,1492,9.7,,164,,31.1,79,,,23.7,662.7,34.3,20.2,2.2,74,159.6,18.81,70.9,11.5,2.45,7.12,1,4.58,0.83,2.1,0.32,1.82,0.26,2,15,5.5,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,51.47,1.62,12.64,6.22,0.09,5.63,5.83,1.58,6.76,0.96,234,781,1537,10.3,,173,,34.7,81,,,25.8,694.3,36.4,21.6,2.5,78.8,173.1,19.75,73.7,12.5,2.73,7.78,1.03,5.04,0.84,2.26,0.32,2.03,0.25,2.2,14.9,5.8,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,53.59,1.76,13.29,5.86,0.07,6.55,5.29,1.65,6.83,1.01,223,682,1484,5.4,,168,,30,111,,,24.6,748.9,35.2,21.1,2.2,76.5,162.3,19.39,71.4,11.2,2.66,7.38,1.01,4.51,0.83,2.14,0.37,1.73,0.3,2.7,16.3,5.6,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,52.48,1.77,13.05,6.02,0.08,6.64,5.63,1.58,6.82,1.02,235,726,1587,5.7,,180,,30.9,103,,,26.3,778.5,37.2,23.2,2.6,81.4,169.9,19.97,75.7,11.7,2.84,7.81,1.03,5.18,0.85,2.3,0.36,1.93,0.27,2.6,17.9,5.6,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,50.54,1.69,12.69,6.12,0.08,5.86,5.79,1.83,6.67,0.94,229,801,1473,11.1,,159,,101.5,81,,,23.3,720.9,34.4,20.9,2.1,75.3,159.7,19.23,72.1,10.9,2.48,7.03,0.97,4.3,0.77,2.03,0.34,1.95,0.26,11.1,15.3,5.3,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,54.23,1.54,10.08,6.01,0.08,9.39,4.93,1.49,7.07,1.08,225,836,1832,9.2,16,124,535,32,287,,,29.2,734,45,20.2,2.45,51,112,14.5,58,11,2.31,8.8,1.14,5.7,1,2.48,0.36,2.12,0.3,16,13.2,2.5,
