Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.21,1.55,9.61,5.14,0.07,11.36,3.34,0.67,8.79,1.08,617,744,2076,,13,81,699,34,472,35,81,34,897,45,22.7,4.18,105,300,,195,36,5.54,,1.75,,,,,1.93,0.26,88,125,17,24
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.49,1.57,9.72,5.21,0.07,10.97,3.12,0.91,9.27,1.11,671,738,1767,,13,83,673,34,511,28,76,31,899,46,23.6,4.42,106,300,,185,34.2,5.59,,1.66,,,,,1.91,0.23,79,128,13,22
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.17,1.55,9.67,5.17,0.07,11.71,3.09,1.01,9.16,1.16,703,760,1505,,15,86,713,32,474,32,78,33,890,44,,,,,,,,,,,,,,,,,97,131,,22
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.89,1.56,9.76,5.23,0.07,11.59,3.2,0.99,9.15,1.12,670,753,1560,,13,86,716,33,491,32,76,34,883,43,22.3,4.2,112,310,,191,35.5,5.68,,2.04,,,,,2.11,0.28,97,132,9,22
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.5,1.51,9.5,5.24,0.08,12.23,3.46,0.96,9.1,1.23,566,837,2003,,14,83,716,37,479,31,75,34,852,45,,,,,,,,,,,,,,,,,117,140,,20
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57.81,1.58,9.84,5.27,0.07,10.23,3.19,1.02,9.2,1.18,557,770,1772,,13,83,687,33,482,34,81,32,887,45,23.4,3.72,107,311,,191,35.2,5.62,,1.94,,,,,1.81,0.22,90,133,18,22
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.71,1.51,9.44,5.25,0.07,11.26,3.62,1.08,9.12,1.3,538,868,2831,,14,82,730,34,489,35,75,30,823,44,22.8,3.95,116,319,,200,36.3,5.8,,1.65,,,,,1.78,0.23,118,141,18,20
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.92,1.49,9.3,5.18,0.08,11.79,4.12,1.08,8.93,1.24,556,816,1855,,14,82,737,34,493,38,79,33,838,45,22.6,3.91,109,307,,182,35.8,5.56,,1.62,,,,,1.79,0.23,113,133,16,21
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.47,1.51,8.95,5.45,0.08,11.88,3.88,0.89,8.94,1.21,623,918,1551,24.4,15.3,91,800.2,,583.1,,,28.6,738.7,51.5,20.81,3.24,114.75,320.35,43.66,194.44,35.17,5.54,17.16,,7.08,,2.55,,2.03,0.3,74.82,117.61,14.9,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.77,1.56,9.18,5.47,0.08,11.51,3.58,0.87,9.07,1.15,763,811,1751,22.8,16.2,91.2,583.8,,565.9,,,28.2,811.8,54.9,22.47,3.54,110.34,312.61,42.46,190.13,34.25,5.34,16.76,,6.88,,2.51,,2.14,0.29,145.72,124.19,23.71,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.97,1.54,9.09,5.34,0.08,10.89,3.57,0.72,8.97,1.07,658,802,1886,17.9,15.1,95.3,865.5,,573.2,,,25.9,760.4,49.4,21.22,3.16,103.96,298.35,40.51,181.96,32.78,5.1,15.79,,6.46,,2.31,,1.91,0.27,,111.41,18.53,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.48,1.54,9.04,5.38,0.08,11.26,3.51,0.88,9.01,1.07,590,785,1719,14.5,14.8,79.5,649.2,,488.6,,,27.8,783.7,48,22.14,3.23,108.07,280.01,40.27,180.79,33.28,5.16,16.52,,6.9,,2.48,,2.13,0.3,,118.68,20.92,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.5,1.55,9.24,5.26,0.07,10.55,3.08,1.27,7.19,0.97,1118,678,1697,60.5,13.8,93.4,602.2,,551,,,24.6,725.4,46.2,20.07,2.92,98.35,291.34,39.23,175.04,31.12,4.85,14.72,,6.1,,2.15,,1.91,0.27,,98.84,28.99,
