Series,Location,Rock Type,K,Ti,Sr,P,Rb,Nb,Ba,Zr,Ce,Th,Y,La
Orogenic,Italy (Tuscany) V.EOM,Lamproite,4.812892175918558,3.9595603265543984,2.637489729512511,3.7604586731221543,2.8524799936368566,1.5440680443502757,3.0969100130080562,2.7168377232995247,2.3324384599156054,2.0644579892269186,1.4913616938342726,1.919078092376074
Orogenic,Italy (Tuscany) V.EOM,Lamproite,4.813446476545053,3.9595603265543984,2.6570558528571038,3.7117667492224298,2.886490725172482,1.4913616938342726,3.0791812460476247,2.7007037171450192,2.3138672203691533,2.0718820073061255,1.6020599913279623,1.8920946026904804
Orogenic,Italy (Tuscany) V.EOM,Lamproite,4.817306897358291,3.914437305766033,2.61066016308988,3.6036725692618594,2.885361220031512,1.4771212547196624,3.1367205671564067,2.6910814921229687,2.3138672203691533,2.0492180226701815,1.4471580313422192,1.9020028913507294
Orogenic,Italy (Tuscany) V.EOM,Lamproite,4.907243254128966,3.7271067452545386,2.6541765418779604,3.1961872426835916,2.989894563718773,1.568201724066995,2.838849090737255,2.843855422623161,2.161368002234975,2.1072099696478683,1.591064607026499,1.7781512503836436
Orogenic,Italy (Tuscany) V.EOM,Lamproite,4.817306897358291,3.914437305766033,2.4983105537896004,3.6036725692618594,2.7781512503836434,1.4183012913197455,2.9633155113861114,2.537063142781617,2.1826143477363495,1.895367288773362,1.2922560713564761,1.7300551523754997
Orogenic,Italy (Tuscany) V.EOM,Lamproite,4.793612231560081,3.853263700002157,2.6503075231319366,3.704342731143223,2.940516484932567,1.5797835966168101,3.1132746924643504,2.708420900134713,2.3013772923493447,2.07018568637838,1.3926969532596658,1.8568496787251723
Orogenic,Italy (Tuscany) V.EOM,Lamproite,4.81565663135017,3.871138423771861,2.578639209968072,3.7117667492224298,2.9122220565324155,1.5563025007672873,3.0989896394011773,2.671913012441587,2.3039732025403064,2.0381430899699424,1.3820170425748683,1.8629062135629981
Orogenic,Italy (Tuscany) T.A.,Lamproite,4.791869241333283,3.9112556469798436,2.762678563727436,3.372278501739273,2.6009728956867484,1.462397997898956,3.143014800254095,2.7259116322950483,2.3961993470957363,1.7024305364455252,1.4313637641589874,2.041392685158225
Orogenic,Italy (Tuscany) T.A.,Lamproite,4.793612231560081,3.881520459565583,2.8674674878590514,3.3641606115170934,2.660865478003869,1.5440680443502757,3.1112625136590655,2.816241299991783,2.4099331233312946,1.7993405494535817,1.505149978319906,1.9731278535996986
Orogenic,Italy (Tuscany) T.A.,Lamproite,4.7673195308520135,3.884926708257494,2.8195439355418688,3.3558880855511033,2.622214022966295,1.5563025007672873,3.0773679052841563,2.807535028068853,2.3820170425748683,1.7781512503836436,1.5314789170422551,2.0
