Series,Location,Rock Type,K,Ti,Sr,P,Rb,Nb,Ba,Zr,Ce,Th,Y,La
Orogenic,Spain (Betics),Lamproite,0.082955809255571,-1.5610363105628986,-2.4006029826366677,-1.3951438888426706,0.6451409859633459,-0.16965408614857375,-1.2316244470877797,-1.0764053711381119,-1.1420036448242636,0.3989440095340975,-0.9473267221010926,-1.2586297314881518
Orogenic,Spain (Betics),Lamproite,-0.2071879360843994,-1.716885717189447,-1.7509762204110315,-1.5157807108804577,0.6918711196904105,-0.663030115805042,-0.06657842721744005,-1.1790877902719075,-1.3121105706485765,0.28108971858269055,-0.9284521763018571,-1.4240888009664658
Orogenic,Spain (Betics),Lamproite,0.3402823201693618,-0.9843900023602025,-1.6078311623952513,-0.7879707948690373,0.9851734611123402,-0.20561889892030324,-0.7392442706162232,-0.37102188454256985,-0.42541911175801134,0.8185212881731964,-0.48752036013729133,-0.7567804537532697
Orogenic,Spain (Betics),Lamproite,-0.33919710753892773,-1.3076570019204838,-1.2932465203585077,-0.36444128538242404,0.5934887556234942,-0.9725975971471013,-0.46678773534882445,-1.2807165482530014,-0.03194336425835752,0.7238761543970202,-2.081112316638485,-0.8036371858366665
Orogenic,Spain (Betics),Lamproite,-0.34357047933016993,-1.2897833578640432,-1.289404922007592,-0.3405927853157171,0.5829523716041283,-1.0216617499108398,-0.46678773534882445,-1.31253857171099,0.25335879798926486,0.7238761543970202,-2.081112316638485,-0.8440764319516088
Orogenic,Spain (Betics),Lamproite,0.7257865738631385,-0.1830020052979302,-0.31929968404745496,0.25468974312589093,1.2807235136333432,-0.17982467500497926,-0.15588330677335893,0.5901807988856929,0.36397835630083697,1.3619269558778448,0.5472900766220973,-0.09671457199009206
Orogenic,Spain (Betics),Lamproite,1.0760833386437756,-0.24502964171176064,-0.9662370826510535,0.6602568480265191,1.5977273678746833,-0.2319561988322891,-0.44846377062976905,0.3972396374020041,0.06271018210840305,1.3809035855050322,-0.00945449750201143,-0.37669286079912495
Orogenic,Spain (Betics),Lamproite,0.9993804693449239,-0.3096502175377971,-1.255142116491995,0.14454806852004384,1.3688186499328052,-0.4028088523045249,-0.47296674217147144,0.3559949724153805,0.0504038634626486,1.153975955817116,0.0617688870039712,-0.3915126540631505
Orogenic,Spain (Betics),Lamproite,0.8387434583382741,-0.2270520787850787,-0.6461323428536936,0.06779161705411874,0.5255389289024678,-0.20561889892030324,-0.3843786537472626,0.4691431051028351,0.140506049016512,1.352327156918194,0.30656738889254226,-0.31891841759892026
Orogenic,Spain (Betics),Lamproite,1.0252033531074332,-0.27239412583312966,-0.6631711104563186,-0.18079770089540387,1.6234575526886244,-0.08165860360816762,-0.8857701116506407,0.40740247843817556,0.4434768515526362,1.471609378854513,0.8290148893636584,-0.13347708889891766
Orogenic,Spain (Betics),Lamproite,0.946942826709035,-0.3096502175377971,-1.424116101777573,-0.24780554473151956,1.3450784179186825,-0.2319561988322891,-0.7015443819040974,0.3559949724153805,0.4386205660461882,1.3230675621480614,-0.052910319913323955,-0.04913774498753854
Orogenic,Spain (Betics),Lamproite,0.9732954198450333,-0.28162432036188284,1.0610198930438217,0.8573865474056922,1.0805599266152712,0.009361568808187712,-0.1029127731639206,0.4730534341382646,0.23140675727119842,1.4539980233152887,0.11770027467782324,-0.14594657330583882
