mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.0408790111541748,0.01911361979715226,0.08997187614440919,0.006742201339149498,7,sqrt,1,3,150,"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 150}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9347826086956521,0.9567618806875631,0.026093287515293502,17,1.0,1.0,1.0,1.0,0.9946808510638299,0.9989361702127659,0.002127659574468055
1.1889616966247558,0.09581706218245739,0.0993070125579834,0.0057794780649147275,7,log2,1,3,150,"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 150}",0.9565217391304348,0.9258720930232558,1.0,0.9666329625884732,0.9347826086956521,0.9567618806875631,0.026093287515293502,17,1.0,1.0,1.0,1.0,0.9946808510638299,0.9989361702127659,0.002127659574468055
1.1299986362457275,0.12317620515919295,0.09838166236877441,0.008863979246118849,15,sqrt,1,3,125,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 125}",0.9565217391304348,0.9258720930232558,1.0,0.9433771486349849,0.9565217391304348,0.956458543983822,0.024505184210275067,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7731860160827637,0.013194117375777694,0.05618901252746582,0.005331896117254032,20,sqrt,1,3,125,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 125}",0.9565217391304348,0.9258720930232558,1.0,0.9433771486349849,0.9565217391304348,0.956458543983822,0.024505184210275067,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7445557594299317,0.011270607565927683,0.06539607048034668,0.012352706868739825,7,log2,1,3,125,"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 125}",0.9565217391304348,0.9258720930232558,1.0,0.9433771486349849,0.9565217391304348,0.956458543983822,0.024505184210275067,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7703039646148682,0.012983190003929343,0.06403326988220215,0.0044688693867977235,20,log2,1,3,125,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 125}",0.9565217391304348,0.9258720930232558,1.0,0.9433771486349849,0.9565217391304348,0.956458543983822,0.024505184210275067,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.8614776134490967,0.046083293426470884,0.07263064384460449,0.007810255769420866,7,sqrt,1,3,125,"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 125}",0.9565217391304348,0.9258720930232558,1.0,0.9433771486349849,0.9565217391304348,0.956458543983822,0.024505184210275067,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.9026852130889893,0.052971838681765866,0.0708735466003418,0.013795786150165867,,sqrt,1,3,125,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 125}",0.9565217391304348,0.9258720930232558,1.0,0.9433771486349849,0.9565217391304348,0.956458543983822,0.024505184210275067,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.8667370319366455,0.015630549190454552,0.07432389259338379,0.004735526307448693,,log2,1,3,125,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 125}",0.9565217391304348,0.9258720930232558,1.0,0.9433771486349849,0.9565217391304348,0.956458543983822,0.024505184210275067,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0767153739929198,0.02221323114042631,0.09802384376525879,0.011739986138004262,10,sqrt,1,3,125,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 125}",0.9565217391304348,0.9258720930232558,1.0,0.9433771486349849,0.9565217391304348,0.956458543983822,0.024505184210275067,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.847089147567749,0.009926824220360033,0.0769303321838379,0.007598655253825797,15,log2,1,3,125,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 125}",0.9565217391304348,0.9258720930232558,1.0,0.9433771486349849,0.9565217391304348,0.956458543983822,0.024505184210275067,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.9446597576141358,0.03207850231614301,0.07800283432006835,0.0026166119892893688,10,log2,1,3,125,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 125}",0.9565217391304348,0.9258720930232558,1.0,0.9433771486349849,0.9565217391304348,0.956458543983822,0.024505184210275067,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
